"","display_title","mpaa_rating","critics_pick","byline","headline","summary_short","publication_date","opening_date","date_updated","link.type","link.url","link.suggested_link_text","multimedia.type","multimedia.src","multimedia.width","multimedia.height","Body"
"2060","The Spy Who Dumped Me","R",0,"A.O. SCOTT","Review: ‘The Spy Who Dumped Me’ Is a Buddy Comedy With a Body Count","Mila Kunis and Kate McKinnon are best friends who help each other through emotional and geopolitical chaos in this silly, bloody movie.","2018-08-01","2018-08-03","2018-09-01 16:44:01",article,http://www.nytimes.com/2018/08/01/movies/the-spy-who-dumped-me-review.html,Read the New York Times Review of The Spy Who Dumped Me,mediumThreeByTwo210,https://static01.nyt.com/images/2018/08/03/movies/03spywhodumped1/03spywhodumped1-mediumThreeByTwo210.jpg,210,140,"In its opening minutes, “The Spy Who Dumped Me” hops from a shootout in Vilnius, Lithuania, to a birthday celebration in Los Angeles. Audrey (Mila Kunis) is turning 30 in the wake of an abrupt breakup — via text — with one of the gunmen, a skinny dude named Drew (Justin Theroux) whose profession was a secret to Audrey. The title of this pleasantly silly, sometimes jarringly violent comedy, directed by Susanna Fogel (who wrote the script with David Iserson), isn’t terribly ambiguous, and I have now explained it fully.ImageKate McKinnon, left, and Mila Kunis find a relaxed, nimble rhythm that keeps “The Spy Who Dumped Me” moving.CreditHopper Stone/LionsgateBut Drew, who shows up back in California to trade a few more bullets and explain himself to Audrey, is as close to beside the point as a heavily armed, lethally trained international operative can be. Espionage is not what this movie is about, and romance isn’t either. Yes, there are chases through various European capitals and another cute secret agent for Audrey to flirt with once Drew is sidelined, but the engine that drives the plot and sparks the jokes is her friendship with Morgan (Kate McKinnon).“The Spy Who Dumped Me” departs from buddy-movie conventions in an important way. Audrey and Morgan aren’t the usual oil-and-water pair of natural antagonists thrown together by circumstance so they can squabble their way to mutual appreciation. Instead, their bond is a constant, an absolute, the one thing in a world of lies and murderous double-crosses that is not subject to doubt. “Don’t trust anyone,” Drew warns Audrey, which is reasonable enough advice. But it’s also implicit that the exception to the rule is Morgan, even though — or just because — Morgan is a complete goofball.Ms. McKinnon is too inventive to make the character a standard, zany rom-com sidekick. There is no real precedent for her highly disciplined comic anarchy, but Ms. McKinnon reminds me a little of Peter Sellers in her command of voice, face and body and her ability to turn every scene into a popcorn popper of verbal and physical surprise.VideoA preview of the film.Published OnJuly 26, 2018CreditCreditHopper Stone/SMPSPMorgan, an aspiring actress, says whatever is on her mind and seems immune to embarrassment. She either doesn’t realize how ridiculous she is or doesn’t care. But unlike Sellers’s similarly clueless characters, who were hermetically sealed in their own delusional realities, Morgan is eager for connection. She shares everything with her parents (Jane Curtin and Paul Reiser) and fangirls over the steely head of British intelligence (Gillian Anderson). She is thrilled to acquire a nemesis, a gymnast-turned-assassin named Nadedja (Ivanna Sakhno).At times, Ms. Kunis seems stranded in Zeppo territory while Ms. McKinnon channels the other three Marx Brothers at the same time. But the two of them find a relaxed, nimble rhythm that keeps the movie going through so-so action sequences and less-than-fresh plot twists. Sam Heughan, as a spy who didn’t dump anyone, does the hunky Hemsworth-brother-type thing with reasonable aplomb, and Hasan Minhaj steals a scene or two as his status-conscious partner.The body count is high for this kind of caper, but the mayhem is weightless. This is partly because “The Spy Who Dumped Me” breezes through the clichés of the action genre with cynical weariness, and partly because Audrey and Morgan are having too much fun to be properly terrified. They seem at first like ordinary, innocent people caught up in a deadly geopolitical game, but it turns out that they’re the only ones in the movie who understand what it’s really about. Patriotism is fungible. Love is capricious. Bestiness is all you can really depend on."
"2079","Nico, 1988","R",1,"JEANNETTE CATSOULIS","Review: ‘Nico, 1988’ Dramatizes the Singer’s Tormented Final Years","A biopic about the Velvet Underground vocalist thrums with nervous energy as it depicts her struggles with heroin and a jagged relationship with her suicidal son.","2018-07-31","2018-08-01","2018-07-31 15:38:03",article,http://www.nytimes.com/2018/07/31/movies/nico-1988-review.html,Read the New York Times Review of Nico, 1988,mediumThreeByTwo210,https://static01.nyt.com/images/2018/08/01/arts/01nico/01nico-mediumThreeByTwo210.jpg,210,140,"Almost the first thing we learn about the tortured title character of “Nico, 1988” — Susanna Nicchiarelli’s brilliantly unsentimental biopic of the German singer Christa Päffgen — is that she doesn’t like to be called Nico. Nor does she appreciate being referred to as “Lou Reed’s femme fatale.”“Don’t call me that,” she snaps at an offending radio interviewer in Manchester, England, in 1986. But when you’re best known as a former vocalist for The Velvet Underground and a leading light of Andy Warhol’s Factory — and your very name is an anagram of “icon” — the legend lingers. Equally eager to distance itself from that surreal time, “Nico, 1988” focuses instead on its star’s final years as Päffgen (Trine Dyrholm, fantastic) struggles to manage a heroin addiction, a European tour and a fractured relationship with her suicidal son, Ari (Sandor Funtek).Singularly unsympathetic, Päffgen presents as a longtime neglectful mother, unrepentant junkie and temperamentally unpleasant artist. Cruelly dismissive of her smitten British manager (an excellent John Gordon Sinclair) and abusive to the bandmates she calls “amateur junkies,” she cares nothing about being liked or understood. Bruised and pale and pushing 50, she springs Ari — then in his early 20s and similarly addicted — from a sanitarium and drags him on tour. It’s a colossally selfish act masquerading as love.VideoA preview of the film.Published OnJuly 25, 2018Yet Ms. Dyrholm, photographed frequently in brutally unforgiving close-up, fully captures the faded charisma of the woman whose life reads like a Who’s Who of the New York midcentury art scene. In the movie’s most powerful moment, she strides onto the stage of an illegal concert in Communist Prague, strung out and stressed and contemptuous of the danger her fans have faced to be there. When she finally sings, every lyric strums with such anger and regret we almost expect the audience to fall backward, as if from a blast.Gray and gritty and jonesing with nervous energy, “Nico, 1988” sets its ominous tone early as the young Christa and her mother watch Berlin burn at the end of World War II. The sight will haunt her and inspire an obsession with recapturing what she called the sound of defeat.“I’ve been on the top, I’ve been on the bottom,” she says at one point. “Both places are empty.” This hollowness of spirit, the feeling that a boat has somehow been missed, saturates the film; and Ms. Nicchiarelli, using brief archival flickers of Warhol’s Factory parties, deftly connects the carefree chaos of Päffgen’s past to the dark desperation of her present. Dovetailing perfectly, Crystel Fournier’s cool, stark visuals punch up the storm-cloud intensity of Ms. Dyrholm’s voice, a melancholy alto moan that sounds almost apocalyptic. This is music to play at the end of the world. Or at the burning of Berlin."
"2080","Rendezvous in July","",1,"GLENN KENNY","Review: In ‘Rendezvous in July,’ Young Parisians Are on the Move","A 1949 Jacques Becker movie is abundant in wit, charm and soul; it has its American debut at Film Forum.","2018-07-31",NA,"2018-08-17 16:44:01",article,http://www.nytimes.com/2018/07/31/movies/rendezvous-in-july-review.html,Read the New York Times Review of Rendezvous in July,mediumThreeByTwo210,https://static01.nyt.com/images/2018/08/01/arts/01rendezvous/01rendezvous-mediumThreeByTwo210.jpg,210,140,"Movies about young adults figuring out what to do with their lives are more than plentiful today, but they sure weren’t in 1949 — which is when the great French director Jacques Becker made “Rendezvous in July.” The picture is having its official New York premiere this week as part of a retrospective of Becker’s works at Film Forum (which is itself reopening after an extensive renovation project).This story about a close-knit group of twentysomething (and possibly younger) friends and lovers in postwar Paris stars Daniel Gélin as Lucien Bonnard, an ambitious cultural anthropologist. The movie opens at a formal lunch at Lucien’s family home. His martinet father upbraids every family member present. With determined calm, Lucien gets up from the table, makes a phone call, packs a suitcase, and leaves the apartment, for the last time.As he goes off to pursue his ambitions, we learn about his circle. The phone call is to his girlfriend, Christine (Nicole Courcel, who here brings to mind a young Marilyn Monroe). She is a would-be actress, but one suspects she’s being pushed into a project by her playwright brother, François (Philippe Mareuil). Lucien’s best friend, Roger (Maurice Ronet), trained as a cinematographer, spends most of his time playing trumpet at the jazz bar Caveau des Lorientais (where real-life jazz great Rex Stewart makes a cameo appearance late in the picture).VideoA preview of the film.Published OnJuly 25, 2018Roger’s girlfriend, Thérèse (Brigitte Auber), is an actress, and a good, dedicated one; she and Christine both study with the same acting coach. They are soon cast in François’ own play, which is being directed by a wunderkind who takes a romantic interest in Christine, while François covets Thérèse.When Christine is seduced by and subsequently entangled with her director, Lucien doesn’t let their breakup break his stride. He hits up seemingly every foundation, academy or relevant commercial enterprise in Paris to finance his documentary film project, which will involve several months in Africa. Once everything’s in place, we learn that his pals are all meant to be in on the project, and a few of them, cozy in their bohemian homebody states, get cold feet on learning it’s a go. Lucien inspires them with a fiery speech. And he’s also, by this point, invested in getting back what he considers romantically his.Becker was in his early 40s and had several features under his belt when he made this movie, which feels like a personal project for him. His subsequent career would find him moving from genre to genre. But whether it was the period drama, “Casque d’Or” of 1952, the 1954 aging-gangster picture “Touchez Pas au Grisbi,” or the prison-break movie “Le Trou” (Becker’s last work; tragically, he died in 1960, the year of its release, at age 53), his pictures always felt authoritative to the point of being definitive.So too does “Rendezvous,” which is superabundant in charm, wit and soul, and has many expressive visual touches. Especially in a climactic dinner-party scene that is set in an ideal bohemian quasi loft, replete with dark corners where the film’s romantic couples can square off or make out."
"2099","No Date, No Signature","",0,"BEN KENIGSBERG","Review: In ‘No Date, No Signature,’ a Doctor Seethes With Guilt Over a Boy’s Death","A sturdy morality play, the film explores the lives of two men, each with a limited sense of what the other knows.","2018-07-31","2018-08-01","2018-08-15 16:44:02",article,http://www.nytimes.com/2018/07/31/movies/no-date-no-signature-review.html,Read the New York Times Review of No Date, No Signature,mediumThreeByTwo210,https://static01.nyt.com/images/2018/08/01/arts/01nodatenosignature/merlin_141654759_015fefc8-8431-4bcb-9ab0-cfeb4212b4b7-mediumThreeByTwo210.jpg,210,140,"An absorbing illustration of how minor actions and bad decisions can amplify one another (and have ripple effects of their own), “No Date, No Signature” is a sturdy morality play from the theater-trained Iranian director Vahid Jalilvand, making his second feature.It begins with a forensic pathologist, Dr. Nariman (Amir Agha’ee), who, when winged by an aggressive passing car, hits a motorcycle carrying an impoverished family. He checks the 8-year-old boy who was riding for a concussion, sits with him for a bit and urges the family to take him to a medical clinic. The father, Moosa (Navid Mohammadzadeh), initially refuses compensation but relents.Then the boy turns up dead in Dr. Nariman’s hospital. Sayeh (Hediyeh Tehrani), the colleague who performs the autopsy, rules the cause of death to be botulism — something that a test confirms the boy had. What are the odds?It soon becomes clear that the movie is a dual character study exploring the lives of Dr. Nariman and Moosa, each with a limited sense of what the other knows, and each seething with guilt. Was botulism the immediate cause of death? Would the boy have died within days anyway, even without the accident? Should the parents know what Dr. Nariman fears, particularly as it bears on their subsequent actions?A tad overdetermined in its studied, snowballing ambiguities, “No Date, No Signature” is dramatized with an acute sense of the role of class in Iranian society, and is unfussily well directed, creating visual parallels between the two men."
"2100","Prairie Trilogy","",1,"GLENN KENNY","Review: In ‘Prairie Trilogy,’ All-American Stories of Socialism","Three films made between 1977 and 1980 recount the efforts of a labor union in North Dakota shortly before World War I.","2018-07-26",NA,NA,article,http://www.nytimes.com/2018/07/26/movies/prairie-trilogy-review-socialism.html,Read the New York Times Review of Prairie Trilogy,mediumThreeByTwo210,https://static01.nyt.com/images/2018/07/27/arts/27prairietrilogy/27prairietrilogy-mediumThreeByTwo210.jpg,210,140,"What does it mean to be a socialist in America, and why do people get so angry, and angrily terrified, when some Americans espouse socialism as a fairer system than the one in place? These questions have been coming up more frequently in recent years, prompted by the rhetoric and policy propositions of the recent presidential hopeful Senator Bernie Sanders and the ascendance of younger politicians, including Alexandria Ocasio-Cortez, the congressional candidate from New York who is unabashedly aligned with the Democratic Socialists of America.You may find an engaging answer to at least the first of the above questions in “Prairie Trilogy,” a collection of three short documentaries made between 1977 and 1980 and directed by the regional filmmakers John Hanson and Rob Nilsson. Now playing in New York in restored form, the movies are companion pieces to Mr. Hanson and Mr. Nilsson’s 1978 feature “Northern Lights,” a fictionalized tale of the real North Dakota labor union called the Nonpartisan League, which formed about a half a decade before America’s involvement in World War I.The first of the three films is “Prairie Fire,” which uses historical photos and archival footage (shot by Frithjof Holmboe, Mr. Nilsson’s grandfather) to tell the story of a simple struggle in 1916 between the grain farmers of North Dakota and the money men who exploited them.The narrator is Henry Martinson, 97 at the time this movie was assembled, who speaks of the “Eastern grain markets, railroads and banks” that the Nonpartisan League mobilized against. Martinson was an organizer for the League; before that, he had edited a socialist newspaper called The Iconoclast.The organization had some success in wresting the “mean of production,” as they say, from the moneyed interests who kept at a far remove from the working man. (These money men practiced “hotel politics,” arriving in towns by rail, barricading themselves in deluxe hotels and fixing the local legislatures from there.) Once World War I conscription began, the entrenched media of the day was successfully able to paint the League as anti-American, and it began to fray.Martinson, who was also a poet, narrates with fervor but also detachment; he’s recounting, not propagandizing. His plain-spokenness about the League’s goals suggests that this socialist’s aim is not some Orwellian nightmare of conformity but a world in which workers are also owners and get what’s coming to them. As opposed, say, to farmers being lent money to buy equipment at such exorbitant rates that they could never pay it back.The directors use a lot of techniques that would become famous through the work of Ken Burns (whose career was beginning at the time these films were made), such as moving the camera slowly in to a still picture and cutting on movement, to create a feeling of flow within their montages.The other two films, “Rebel Earth” and “Survivor” (both, like “Prairie Fire,” shot in grainy, immediate-feeling black and white) catch up with Martinson in the then present-day world of the late 1970s. In the company of a younger farmer, Jon Ness, Martinson goes to bars, pool halls and other locales, surveying the situation with grain farmers and in some cases getting into lively arguments. He addresses the North Dakota State Legislature, or at least its empty hall, to the delight of Mr. Ness and his buddies, wryly recollecting the elections he lost.In “Survivor,” Martinson (who died in 1981 at 98) communes with some of his still-living contemporaries. These are affectionate and affecting portraits. This socialist was a learned man, a little bit of a romantic, but someone nevertheless devoted to practical solutions to very real problems. These films — which were funded, in part, by the North Dakota A.F.L.-C.I.O. — are moving and still pertinent depictions of the human realities that animate labor struggles."
"2119","Good Manners","",1,"JEANNETTE CATSOULIS","Review: ‘Good Manners’ Is a Twisty Werewolf Tale From Brazil","This genre-twisting film from Juliana Rojas and Marco Dutra successfully joins art house to slaughterhouse.","2018-07-26","2018-07-27","2018-08-24 16:44:01",article,http://www.nytimes.com/2018/07/26/movies/good-manners-review.html,Read the New York Times Review of Good Manners,mediumThreeByTwo210,https://static01.nyt.com/images/2018/07/27/arts/27goodmanners/27goodmanners-mediumThreeByTwo210.jpg,210,140,"Wondrously weird and a skosh too long, “Good Manners” is a dark Brazilian fable of animalistic passions and social isolation. Swerving from predictable to confounding, dreamy to demented, artful to awkward, this genre-twisting hybrid from Juliana Rojas and Marco Dutra links art house and slaughterhouse with unexpected success. When you drop a werewolf child into a lesbian love affair, you don’t need musical numbers to grasp that you’re watching something unique.Set in a mostly nocturnal São Paulo, the story sends Clara (a riveting Isabél Zuaa), an African-Brazilian nurse, to be a nanny for a wealthy single mother to be, Ana (Marjorie Estiano). Spoiled and estranged from her plantation-owning family, Ana initially treats Clara as a personal maid. But as her delivery approaches and her behaviors become more disturbing — among them, sleepwalking and feline hunting — the women grow closer and more mutually reliant. When the child-monster arrives, it will tear mother, and movie, apart.VideoA preview of the film.Published OnJuly 17, 2018Ambitiously allegorical, “Good Manners” dramatizes class and racial tensions in contemporary Brazil by creating contrasting worlds: rich and poor, black and white, high-rise chic and shantytown. Suffused with harp music and gorgeously lighted (the cinematographer, Rui Poças, paints inky shadows you could drown in), the film blends raw horror, deftly composed songs, beautifully drawn storyboards and strong lead performances into a single, elegant package.Leaping forward almost 10 years, the second half shifts gears as Clara struggles to help her intermittently hairy charge (played by the charming, and aptly named, Miguel Lobo) pass in public. The little beast is slowly learning who he is; but, clearly, his directors — who previously collaborated on the drama “Hard Labor” — already have their identities down pat."
"2120","Killer Bees","",1,"JASON ZINOMAN","Review: ‘Killer Bees’ Tracks Working-Class Athletes in the Hamptons","The documentary, directed by Benjamin and Orson Cummings, follows the Killer Bees, a predominantly African-American high school basketball team.","2018-07-26","2018-07-27","2018-08-03 16:44:02",article,http://www.nytimes.com/2018/07/26/movies/killer-bees-review.html,Read the New York Times Review of Killer Bees,mediumThreeByTwo210,https://static01.nyt.com/images/2018/07/27/arts/27killerbees/merlin_141624528_28196305-ef19-45c7-a5af-f3c6ebcd18c2-mediumThreeByTwo210.jpg,210,140," Every new high school basketball documentary must contend with the long shadow of the 1994 masterpiece “Hoop Dreams.” While it’s nowhere near as ambitious, “Killer Bees” fits squarely in its tradition, engaging and humane storytelling that uses the drama of basketball to tell a deeper story about race, class, and the excitement and heartache of young lives careening toward adulthood.VideoA preview of the film.Published OnJuly 17, 2018Directed by Benjamin and Orson Cummings and produced by, among others, Shaquille O’Neal, the movie tracks one season in the powerhouse basketball program of the Bridgehampton Killer Bees, a predominantly African-American and working-class team in an area — the Hamptons — famous as a getaway for the spectacularly rich. In using this juxtaposition as a metaphor for growing inequality and the shrinking middle class, the filmmakers are helped considerably by the coach, Carl Johnson, who is both a charismatic character and a sharp observer of his town; his assistant Joe Zucker, whose day job is as a celebrated artist (this might explain why the art dealer Larry Gagosian is another producer of the film); and a clueless, Maserati-driving real estate agent, the perfect stand-in for the forces of gentrification.While the players are the central subjects, the movie doesn’t dig as deeply into their lives as “Hoops Dreams” does with its subjects. Instead, “Killer Bees” often cuts to footage of games from previous decades or interviews with stars from earlier eras. The movie is ultimately less about the players or even the engrossingly shot games than the idea of basketball as a tradition, one that imbues lives with meaning and bonds a community. This is under threat from the changing composition of the town, and what makes this story compelling is that the outcome of that contest remains uncertain."
"2139","Scarred Hearts","Not Rated",1,"BEN KENIGSBERG","Review: ‘Scarred Hearts’ Entraps a Young Man and His Illness","Grueling but fascinating, Radu Jude’s film freely adapts the writings of the Romanian author M. Blecher.","2018-07-26","2018-07-27","2018-08-10 16:44:02",article,http://www.nytimes.com/2018/07/26/movies/scarred-hearts-review-radu-jude.html,Read the New York Times Review of Scarred Hearts,mediumThreeByTwo210,https://static01.nyt.com/images/2018/07/27/arts/27scarredhearts/merlin_141624930_bdd4feea-910a-4cbb-9867-dd972be9c1e4-mediumThreeByTwo210.jpg,210,140,"Grueling but fascinating, Radu Jude’s “Scarred Hearts” is loosely based on the writings of Max Blecher, also known as M. Blecher, a Romanian Jewish writer who died of bone tuberculosis in 1938. It centers on a young man much like him, Emanuel (Lucian Teodor Rus), who receives that diagnosis when he arrives at a sanitarium by the sea as the film opens in 1937.Emanuel remains there for the majority of the film, encased in a body cast to prevent his spine from breaking, facing an uncertain prognosis and incongruously upbeat banter from the medical staff. In his confinement, he consorts with a revolving cast of the lost and the damaged, including a former patient named Solange (Ivana Mladenovic), who becomes the object of his affection at a time and place where fidelity tends to waver.Emanuel’s erotic fumblings, with and apart from Solange, are just one aspect of his absurdist ordeal — absurd both because of his loss of control (on a visit, his mother cluelessly frets that he can’t keep kosher in the hospital) and because the road to World War II is being paved outside. (The premises aren’t immune to anti-Semitism, either.)VideoA preview of the film.Published OnJuly 17, 2018“We are denied even the heroism of true tuberculosis,” Emanuel says to a patient with the same disease. “Lung tuberculosis — that would have been romantic.”Mr. Jude wastes no time establishing that this won’t be an easy film to watch. Early on, he keeps the camera perfectly still while Emanuel, screaming, has a giant needle full of pus drained from an abscess. Nothing that follows is so graphic, but the film remains demanding and at times obscure.Liberally sprinkled with title cards featuring passages from Mr. Blecher’s writing, the movie is otherwise perversely antiliterary; it’s the rare page-to-screen adaptation in which the camera becomes an essential character. The action often unfolds in long shot, with crowded compositions in which the principals are obscured by door frames. Over time, the withholding of conventional editing patterns and the sensitization to subtle changes in camera placement become an analogue for Emanuel’s entrapment. For us as for him, the world is nothing more or less than the golden glow of the hospital lights, the ugly teal of its walls, a chair, a mirror or a bedside table covered with books.Aesthetically, “Scarred Hearts” is in many ways the mirror image of Mr. Jude’s previous film, the wide-screen, black-and-white Romanian western “Aferim!”This film is in color, shot in the claustrophobic Academy ratio of the period (with rounded edges added, as if audience members were looking through an old viewfinder) and resolutely antigenre. Those eager to take the plunge are advised to go on the opening night, Friday, when Anthology Film Archives will screen a 35-millimeter print while a speaker of Romanian projects English subtitles in real time. What better way is there to experience the tangibility of Emanuel’s world?"
"2140","The Captain","",1,"JEANNETTE CATSOULIS","Review: In ‘The Captain,’ a Sadistic Nazi Is an Impostor","The film is based on the true story of a private who portrayed a Nazi captain and embarked on a brutal odyssey at the end of World War II.","2018-07-26","2018-07-27","2018-08-17 16:44:01",article,http://www.nytimes.com/2018/07/26/movies/the-captain-review-nazi-impostor.html,Read the New York Times Review of The Captain,mediumThreeByTwo210,https://static01.nyt.com/images/2018/07/27/arts/27thecaptain/27thecaptain-mediumThreeByTwo210.jpg,210,140,"“The Captain,” Robert Schwentke’s harrowing World War II psychodrama, isn’t what you would call enjoyable, exactly. More accurately, it compels our attention with a remorseless, gripping single-mindedness, presenting Naziism as a communicable disease that smothers conscience, paralyzes resistance and extinguishes all shreds of humanity.Based on the astonishing true story of Pvt. Willi Herold (Max Hubacher), a teenage deserter from the German army whose sadism would eventually earn him the nickname of the Executioner of Emsland, the movie picks up two weeks before the end of the war. Germany is in chaos and the petrified Herold, fleeing military police, finds a Nazi captain’s uniform and can’t believe his luck when it fits. Thus disguised, he soon organizes a car, weapons and a ragtag band of brothers whose unquestioning acceptance of his command emboldens him. High on the terrifying charisma of his clothing, he invents a secret mission from the Führer and embarks on a brutal odyssey of torture and slaughter.VideoA preview of the film.Published OnJuly 17, 2018Shooting in Poland and Germany in knife-edged black and white, the cinematographer, Florian Ballhaus, adds uncomfortable visual heat to Herold’s ice-cold cruelties. Through camera angles and lighting, in God’s-eye views and in carefully staged close encounters, his images pinpoint the tension between real and fake authority and the ways we determine which is which. And while there’s a grotesque comedy to Herold’s gang of dupes and opportunists as it trundles from one atrocity to another, the script’s emphasis on the transactional nature of power is too chilling to encourage chuckles. We can almost see characters figure out which side their Schwarzbrot is buttered on.In the publicity notes, Mr. Schwentke says he’s not interested in the architects of National Socialism, so much as the “back row” people who maintained its cover. And as we watch Herold gain confidence in his deception, sliding from fearful fugitive to pitiless con man, we see how the allure of a uniform might sicken its wearer as well as subjugate its followers. His swift embrace of depravity — and the self-interested silence of those who see through his ruse — gives “The Captain” a distressing inevitability that can make the viewer feel helpless, as if the seductiveness of fascism were stronger than its terrors.The real Herold fought in Italy as a paratrooper and, at one point, had an estimated 80 soldiers under his fake command. Movie Herold, sadly, remains an enigma, as his director seems more keen to place human nature, in a general sense, under scrutiny — to sniff out the reasons so many were willing to hitch their wagons to an emperor who really had no clothes at all."
"2159","The Bleeding Edge","",1,"KEN JAWOROWSKI","Review: In ‘The Bleeding Edge,’ Victims of Medical Devices","This documentary examines how poor regulation and corporate influence contribute to patients’ painful injuries.","2018-07-26",NA,"2018-07-31 02:44:01",article,http://www.nytimes.com/2018/07/26/movies/bleeding-edge-review-medical-devices.html,Read the New York Times Review of The Bleeding Edge,mediumThreeByTwo210,https://static01.nyt.com/images/2018/07/27/arts/27bleedingedge/27bleedingedge-mediumThreeByTwo210.jpg,210,140,"The surgery scenes in “The Bleeding Edge” are squirm-in-your-seat uncomfortable. But it’s the interviews — watching patients recount agonies they’ve suffered from poorly researched and regulated medical devices — that are hardest to sit through.“When it comes to medical devices, we built a system that doesn’t work” for proper regulation, says Dr. David A. Kessler, a former commissioner of the Food and Drug Administration. The multibillion dollar industry has exploited those flaws, and Kirby Dick (“The Invisible War,” “Twist of Faith”), the documentary’s director, spotlights infuriating examples and conflicts of interest.We learn of former F.D.A. officials hired by companies they once regulated, and see business executives named to government positions. That revolving door has been reported elsewhere, and often. Yet as outlined here, corporate influence has reached a point that might seem comical were patients’ lives not being wrecked.VideoA preview of the film.Published OnJuly 18, 2018Mr. Dick smartly summarizes complex procedures and cites exasperating statistics. His script is better still at introducing people affected by the products. The interviewers — Amy Ziering, aided by Amy Herdy and Mr. Dick — coax out dozens of quotes and anecdotes you’ll wish were heard by every government official.Ana Fuentes, a mother of four, chose Essure as a contraceptive. She and others say they have experienced excruciating pain since being implanted with it. (Last week, Bayer, the maker of Essure, said it will end sales of the device.) Ms. Fuentes says she is now unable to work because of complications. Her experiences described here, and the toll they take on her children, are heartbreaking.Stephen Tower, a physician, received a chrome-cobalt replacement hip, which he suspects poisoned him and led to a mental breakdown. Another segment, on complications said to be caused by vaginal mesh, is particularly harrowing; the mesh, whose potential to create serious problems was long known, “costs about $25 to bring to market, and they sell for about $2,000,” says an obstetrician. In such cases, if there’s a disagreement between the marketing and the medicine, “the marketing is always going to win out,” says a lawyer for injured patients.A sales representative, whose identity is shielded, discusses financial incentives used to coax surgeons to implant devices: “It’s gotten worse over time because of greed.” An onscreen statistic notes that medical companies paid doctors more than $2 billion in 2016.“The Bleeding Edge” isn’t an anti-medical film, but a look at calamities caused when the obsession for profit overwhelms an industry. Mr. Dick uses no devious camera tricks, and the soundtrack, by Jeff Beal, is tense yet restrained. Indeed, the filmmakers aren’t shouting “Fire” in a crowded theater. For them and their subjects, the inferno has already occurred. Now they’re sweeping up the ashes, and warning of new blazes sure to come."
"2160","Teen Titans Go! To the Movies","PG",0,"KEN JAWOROWSKI","Review: In ‘Teen Titans Go! To the Movies,’ It Takes a Superhero to Spoof One","The animated comedy finds a team of young crusaders fighting a villain and making fun of superhero franchises.","2018-07-26","2018-07-27","2018-08-26 02:44:01",article,http://www.nytimes.com/2018/07/26/movies/review-teen-titans-go-to-the-movies.html,Read the New York Times Review of Teen Titans Go! To the Movies,mediumThreeByTwo210,https://static01.nyt.com/images/2018/07/27/arts/27teentitanspix/merlin_141624993_b3a71316-0cb5-4580-9876-c8af6153848c-mediumThreeByTwo210.jpg,210,140,"Giddy with in-jokes, meta-moments and quick asides, “Teen Titans Go! To the Movies” is funny enough that you may just forgive its annoyingly placed exclamation point.Based on a Cartoon Network series derived from a DC comic book, the animated comedy features a team of adolescent superheroes led by Robin (Scott Menville), that perennial second-fiddle to Batman. Frustrated by his subordinate status, he enlists his cohorts — Beast Boy (Greg Cipes), Cyborg (Khary Payton), Raven (Tara Strong) and Starfire (Hynden Walch) — to find a deadly villain to fight. If he conquers evil he’ll earn respect, Robin figures. Far more important, he’ll get a movie deal.VideoA preview of the film.Published OnJuly 17, 2018It’s an amusing tale for young audiences, ending with the expected messages about friendship and courage. But there are delights for adults as well, particularly in the first half, with sendups of various comic book series (some aimed at DC’s own arch-nemesis, Marvel) and an extra-large supply of spoofs on other movies.“Deadpool” and “Green Lantern” are satirized, while “Batman” and fellow franchises are lampooned for their catchphrases, special effects and sequels. Older references are also checked: Marlon Brando’s role in the 1978 “Superman” is remembered with affection; “Back to the Future” is called on for a quick laugh, as is “The Lion King.”The prevailing attitude is feisty rather than snide, with music thrown in, too: the cheeky “Upbeat Inspirational Song About Life,” sung by Michael Bolton, is among the cleverest moments. Kristen Bell, Jimmy Kimmel and Nicolas Cage voice assorted characters (with Mr. Cage as Superman, a role he once planned to play in a project that fell apart — another insider joke here), while Stan Lee, the Marvel Comics legend, makes a few cameos.As the action progresses, the gags diminish. Just after the halfway point, “Teen Titans,” directed by Aaron Horvath and Peter Rida Michail, starts racing to wrap up its story lines. That’s probably wise. The movie’s best parts aren’t in the plot, anyway — they’re in the parodies."
